Kowsardb#1401-9-26#18:37:43 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:43')"
Kowsardb#1401-9-26#18:37:44 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:44')"
Kowsardb#1401-9-26#18:37:57 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:57')"
Kowsardb#1401-9-26#18:37:57 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:57')"
Kowsardb#1401-9-26#18:37:57 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:57')"
Kowsardb#1401-9-26#18:37:57 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:07:57')"
Kowsardb#1401-9-26#18:38:3 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:03')"
Kowsardb#1401-9-26#18:38:3 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:03')"
Kowsardb#1401-9-26#18:38:3 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:03')"
Kowsardb#1401-9-26#18:38:3 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:03')"
Kowsardb#1401-9-26#18:38:5 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:05')"
Kowsardb#1401-9-26#18:38:5 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:05')"
Kowsardb#1401-9-26#18:38:5 : Kowsardb#1401-9-26#18:38:5 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:05')"	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:05')"
Kowsardb#1401-9-26#18:38:12 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('Read timed out','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:11')"
Kowsardb#1401-9-26#18:38:12 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:11')"
Kowsardb#1401-9-26#18:38:12 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:11')"
Kowsardb#1401-9-26#18:38:12 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:11')"
Kowsardb#1401-9-26#18:38:13 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:13')"
Kowsardb#1401-9-26#18:38:21 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:21')"
Kowsardb#1401-9-26#18:38:21 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:21')"
Kowsardb#1401-9-26#18:38:21 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:21')"
Kowsardb#1401-9-26#18:38:21 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:21')"
Kowsardb#1401-9-26#18:38:23 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:23')"
Kowsardb#1401-9-26#18:38:31 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:31')"
Kowsardb#1401-9-26#18:38:31 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:31')"
Kowsardb#1401-9-26#18:38:31 : 	" Insert into ErrorLogReport([ErrorLogText], [Broker], [DeviceId], [ServerName], [VersionName], [StrDate])values ('timeout','16','08fdb96f8d88813e','پیشرو','11.08.08','1401\/9\/26 15:08:31')"
